AppID,AvgRating,five-star,four-star,three-star,two-star,one-star,total,GiveCommits,ManifestCommits,AvgManifestCommtterratio
2,4.3,4529,1931,798,298,361,7917,245,34,0.385384615
8,3.9,831,375,172,98,2015,3491,28,37,0.473333333
10,4.5,641,193,60,18,38,950,102,39,0.714444444
13,4.2,7231,2491,1213,459,760,12154,77,30,0.99
29,4.2,24,2,3,3,3,35,120,27,0.33
45,4.1,65,6,10,6,12,99,812,22,0.73
52,3.5,29,24,12,10,13,88,4,51,0.73
56,4.4,4682,940,428,209,417,6676,85,21,0.73
58,4.2,45,10,3,3,7,68,133,79,0.695238095
69,3.8,761,334,204,92,227,1618,30,20,0.37875
88,4.3,1732,428,158,70,212,2600,391,127,0.669565217
98,4.5,888,221,57,31,62,1259,3145,41,0.722222222
99,4.7,186,37,3,4,2,232,1185,16,0.78
112,4.2,1362,651,250,99,114,2476,235,47,0.34375
115,4.4,3013,1478,326,105,121,5043,94,22,0.48
131,3.9,850,227,111,95,227,1510,386,20,0.78
135,3,11,1,4,1,11,28,133,33,0.265625
141,4,21,9,1,2,5,38,121,18,0.48
142,4.3,1332,459,154,67,139,2151,216,11,0.48
152,4.3,725,199,83,57,73,1137,117,75,0.364375
161,4.2,30089,9183,4453,2245,4283,50253,11624,20,0.927777778
183,4.5,249,89,16,4,9,367,903,31,0.415789474
189,4.5,7294,1733,376,175,398,9976,1093,21,0.47
197,3.9,254,80,65,32,65,496,64,69,0.434848485
207,4.5,6134,1314,459,190,405,8502,68,22,0.478571429
218,4.5,71,19,5,0,6,101,117,97,0.332407407
228,4.6,107,40,6,0,3,156,533,35,0.458333333
230,4.5,640,187,57,23,37,944,518,11,0.227142857
234,4.4,1433,276,121,35,125,1990,969,30,0.378571429
236,4,687,185,112,57,146,1187,57,12,0.271428571
237,4.5,3739,1436,282,108,121,5686,1574,12,0.366666667
238,4.3,454,160,62,34,33,743,72,29,0.309375
250,4.2,317,64,47,13,45,486,31,31,0.212352941
256,4.6,22900,6348,1279,372,652,31551,714,20,0.183
271,3.6,461,163,116,87,189,1016,448,25,0.814285714
273,4.5,351,75,26,16,22,490,65,16,0.815714286
277,4.8,1836,165,50,21,39,2111,1125,38,0.95
294,4.4,13082,3367,1313,613,1191,19566,1929,35,0.815714286
299,3.5,28,23,11,7,16,85,53,12,1
313,4.5,288,47,13,10,23,381,311,151,1
315,4.2,31608,12440,4313,1727,4389,54477,435,30,1
323,4.3,186,101,27,10,16,340,94,75,1
333,4.1,602,292,105,47,91,1137,186,16,1
338,4.6,10631,3417,849,212,248,15357,239,24,1
345,4,1178,495,172,92,304,2241,712,222,0.992692308
349,4.4,17,8,1,0,2,28,310,229,0.698373984
350,3.3,23,8,2,7,15,55,657,31,0.72047619
358,4.5,4277,1270,287,128,205,6167,172,15,0.748888889
360,4.4,140,36,15,5,8,204,458,27,0.84
362,4.4,851,237,71,40,61,1260,569,43,0.746666667
364,4.3,509,235,67,34,45,890,302,11,0.72
371,4.1,11823,5613,2314,1390,1714,22854,85,28,0.4225
373,4.6,1309,394,89,25,22,1839,372,19,0.84
383,4.4,52,10,4,1,5,72,272,81,0.657560976
398,4.4,347,75,32,11,36,501,154,10,0.84
399,3.3,32,34,31,20,17,134,45,54,0.84
419,4.1,1789,930,406,153,259,3537,14,15,0.84
422,4.2,481,139,58,34,64,776,13741,17,0.722857143
434,4,25,6,3,1,6,41,52,59,0.797948718
436,4.7,284,26,22,1,11,344,93,21,0.84
440,3.6,38,15,16,7,16,92,24,35,0.84
441,3.8,153,34,23,17,49,276,16,13,0.84
442,2.8,21,19,13,10,37,100,1131,96,0.84
447,4.2,1956,732,321,155,268,3432,270,53,0.737368421
453,4.8,22,2,1,0,0,25,242,25,0.84
455,4,40,11,4,3,10,68,38,30,0.84
456,4.1,981,537,247,90,127,1982,13,44,0.328965517
460,4.1,75,24,5,5,14,123,91,17,0.84
461,4.3,1052,600,187,51,78,1968,43,35,0.812142857
462,3.2,106,68,54,25,86,339,267,68,0.780377358
463,4.2,2488,867,383,158,296,4192,3016,25,0.45
473,4.3,1311,450,187,74,135,2157,1329,93,0.674545455
480,4,135,21,25,5,33,219,8,11,0.45
482,4.4,1858,562,171,74,151,2816,53,14,0.138
486,4.5,1105,242,85,29,45,1506,708,28,0.32
490,4.2,2836,1077,425,151,390,4879,326,113,0.6775
495,4,1467,565,294,132,306,2764,1441,11,1
496,4.2,327,85,32,19,47,510,1654,36,1
497,4.4,11714,3293,1217,516,622,17362,908,36,0.97
502,4.4,2681,575,197,88,293,3834,1536,32,0.392727273
510,3.9,13,4,3,3,2,25,40,13,0.64
523,4.4,64,17,6,1,5,93,149,36,0.79
528,3.7,2134,1493,840,443,611,5521,2265,40,0.620909091
535,4,228,77,29,20,53,407,105,23,0.69
539,3.7,29,17,4,6,10,66,27,37,0.548461538
540,4.2,171,21,11,3,35,241,94,37,0.36
545,4.1,52,15,8,4,10,89,45,15,0.93
605,4.3,27,6,5,0,3,41,154,20,0.192
644,4.2,400,134,55,28,42,659,45,102,0.077674419
651,4.1,3507,732,346,235,628,5448,15,24,0.090769231
681,4.6,1768,479,104,48,50,2449,894,12,0.07375
