rowID,Genre,Rating,Lowerdownloads,FuzzyRisk,JavaFiles,DefectCount,LOC,OPrivCount,UPrivCount,PermissionCount,JLintResult
90,Music & Audio,4,100000,92,798,9,109557,1,2,4,217
91,Music & Audio,4.1,100000,,1223,322783,187026,,,2,363
95,Music & Audio,3.9,100000,50,220,3,27710,2,1,9,111
114,Music & Audio,4.2,100000,92,1351,9,158075,1,3,10,391
131,Music & Audio,3.9,100000,51,66,5111,7398,,,3,20
135,Music & Audio,3.7,100000,51,64,5111,6782,,,7,20
240,Music & Audio,3.8,100000,51,63,5111,6990,,,14,20
254,Music & Audio,4.1,100000,,978,313355,158673,,1,3,304
267,Music & Audio,3.5,500000,51,65,5111,7106,,,6,20
284,Music & Audio,4.3,1000,51,1179,41338,111149,,6,6,343
285,Music & Audio,3.5,1000,50,2805,15,335360,,3,2,707
293,Music & Audio,4.4,1000,51,2927,12,305677,,5,11,870
336,Music & Audio,3.8,500000,100,1038,9,126976,,6,3,296
337,Music & Audio,3.7,500000,100,1038,9,126976,,6,4,296
338,Music & Audio,3.9,100000,100,1811,9,231967,,7,3,472
340,Music & Audio,3.9,500000,100,1035,6,126567,,6,2,296
362,Music & Audio,3.8,500000,,1085,320061,169684,,1,5,346
368,Music & Audio,4.3,100000,51,70,5111,7488,1,1,25,20
453,Music & Audio,4.1,1000,100,3683,120,402659,,3,6,925
471,Music & Audio,4.1,5000,51,1693,12,159339,2,1,6,492
482,Music & Audio,3.3,50000,51,763,6,82478,,2,2,224
514,Music & Audio,4,1000,0,325,6,29724,,2,3,53
523,Music & Audio,4.2,10000,51,610,6,55731,,1,2,149
573,Music & Audio,3.7,10000,51,1199,12,112843,2,2,1,268
647,Music & Audio,3.8,10000,51,1179,41338,111217,,6,13,343
649,Music & Audio,3.9,10000,92,967,6,110180,,1,7,251
652,Music & Audio,4.3,10000,51,1179,41338,111125,,6,5,343
656,Music & Audio,3.8,100000,51,106,4956,9771,,1,2,26
715,Music & Audio,4,10000,51,254,9,45094,1,5,4,80
910,Music & Audio,3.4,500000,0,15,3,542,,,5,4
917,Music & Audio,3.3,1000000,92,1347,9,185960,,1,5,663
936,Music & Audio,4.5,1000,50,1722,9,188927,2,2,7,579
954,Music & Audio,4.2,1000,51,1179,41338,111187,,6,6,343
956,Music & Audio,3.6,10000,51,1179,41338,111271,,6,11,343
959,Music & Audio,4.4,100000,51,524,9,34024,,1,2,188
1070,Music & Audio,4.3,5000,51,574,9,55602,,2,4,160
1103,Music & Audio,4.4,1000,51,1179,41338,111181,,6,5,343
1113,Music & Audio,4.2,5000,51,1018,6,155838,,3,11,361
1230,Music & Audio,4.8,5000,100,2744,12,332594,4,3,2,494
1522,Music & Audio,4,5000,51,59,6,9717,1,,12,13
1714,Music & Audio,3.9,1000,51,17,3,787,1,2,2,3
1799,Music & Audio,3,1000,51,23,21,1204,3,1,8,4
1801,Music & Audio,4.7,1000,51,23,21,1206,3,1,16,4
1806,Music & Audio,4.8,1000,51,687,23,88779,1,1,2,262
1815,Music & Audio,4.4,1000,50,1946,9,207027,4,2,2,653
1835,Music & Audio,3.7,10000,51,67,3,9239,,7,2,35
1933,Music & Audio,4.4,1000,51,1123,12,144347,2,1,4,140
1936,Music & Audio,4.4,5000,51,1596,12,170234,,2,3,472
1941,Music & Audio,4.5,1000,51,965,15,108390,,6,2,317
2048,Music & Audio,4.1,100000,51,99,6,11070,,2,12,52
2211,Music & Audio,4.3,50000,51,277,6,26372,4,2,2,101
2223,Music & Audio,4.5,1000,50,783,6,84330,1,3,7,162
2225,Music & Audio,4.1,1000,51,538,12,54310,3,4,3,142
2229,Music & Audio,3.8,1000,51,227,5095,27238,1,1,8,70
2231,Music & Audio,4.4,5000,50,291,12,29401,1,1,7,57
2244,Music & Audio,4.8,1000,50,893,9,95215,2,2,7,300
2322,Music & Audio,4.8,1000,51,266,9,25627,,1,11,90
2323,Music & Audio,3.1,5000,51,1303,15,284632,,10,9,1252
2353,Music & Audio,4.1,1000,91,3582,12,428453,3,4,1,692
2392,Music & Audio,3.8,5000,51,926,9,90430,,2,2,279
2396,Music & Audio,4.3,1000,50,674,9,62040,,1,4,213
2404,Music & Audio,4.2,10000,51,763,6,82432,,2,3,224
2412,Music & Audio,3.9,100000,51,765,6,83436,,2,16,223
2440,Music & Audio,4.4,10000,51,221,6,20711,1,1,16,50
2460,Music & Audio,4,10000,51,55,3,6851,,1,5,14
2478,Music & Audio,4.2,10000,100,3166,41335,347076,3,3,1,703
2479,Music & Audio,4.9,1000,51,528,20,73971,1,,4,200
2492,Music & Audio,3.8,1000,51,1179,41338,111321,,6,5,343
2522,Music & Audio,3.7,10000,50,147,3,20382,8,1,4,83
2585,Music & Audio,3.8,10000,92,4092,9,441834,1,4,2,701
2615,Music & Audio,4.1,10000,100,2557,15,328652,2,1,2,602
2621,Music & Audio,3.9,100000,92,602,9,64438,,1,2,160
2624,Music & Audio,4.3,50000,51,732,18,69883,2,3,7,308
2625,Music & Audio,4.2,100000,50,2400,12,270287,,3,1,678
2626,Music & Audio,4,50000,100,3111,27,372908,,3,2,869
2649,Music & Audio,4.5,1000,92,1571,9,193182,,3,1,429
2656,Music & Audio,4.4,5000,92,1558,12,194861,2,1,3,498
2657,Music & Audio,4,10000,92,4092,9,441834,1,4,11,701
2684,Music & Audio,3.1,1000,51,68,6,7676,,1,1,10
2729,Music & Audio,3.9,1000000,92,225,6,41803,1,1,7,81
2750,Music & Audio,4.2,100000,92,1348,6,219260,,2,2,523
2751,Music & Audio,3.8,10000,51,275,6,26109,3,2,5,104
2767,Music & Audio,4,100000,92,552,6,71235,,1,4,146
2770,Music & Audio,3.6,100000,51,763,6,82430,,2,4,224
2775,Music & Audio,4.2,100000,92,552,6,71235,,1,3,146
2841,Music & Audio,3.6,100000,51,574,9,55555,,2,3,160
2925,Music & Audio,3.6,1000,51,68,6,7676,,1,10,10
2933,Music & Audio,4.1,1000,51,105,6,9866,3,1,18,31
2936,Music & Audio,4,1000,51,105,6,9866,3,1,4,31
3034,Music & Audio,4.1,50000,51,274,6,26121,3,2,2,103
3039,Music & Audio,4.2,5000,51,104,6,9824,3,1,7,31
3053,Music & Audio,3.5,10000,51,204,3,17482,3,2,9,101
3073,Music & Audio,4.7,1000,50,1946,9,207027,4,2,1,653
3087,Music & Audio,4.1,1000,51,736,6,61738,1,1,4,150
3259,Music & Audio,4.3,1000,51,1213,15,137316,,6,3,394
3311,Music & Audio,4.3,1000,51,574,9,55692,,2,3,160
3332,Music & Audio,4.6,1000,51,569,12,55307,,2,11,156
3378,Music & Audio,4.1,10000,50,306,12,29231,1,1,11,68
3397,Music & Audio,4.4,100000,51,282,6,26555,3,2,8,102
3404,Music & Audio,4,5000,51,1179,41338,111223,,6,3,343
3406,Music & Audio,4.4,5000,51,1179,41338,111161,,6,7,343
3412,Music & Audio,4.5,10000,92,967,6,110180,,1,17,251
3416,Music & Audio,4.1,50000,51,765,6,83436,,2,5,223
3431,Music & Audio,4.7,1000,51,142,6,12464,,,4,34
3451,Music & Audio,4,1000,51,1179,41338,111267,,6,5,343
3468,Music & Audio,3.3,1000,50,251,3,27148,3,5,2,85
3484,Music & Audio,4.3,10000,51,614,6,62224,1,1,5,134
3512,Music & Audio,3.4,5000,50,620,6,64165,2,5,9,152
3520,Music & Audio,4.1,1000,51,1179,41338,111257,,6,7,343
3538,Music & Audio,3.5,10000,50,251,3,27154,3,5,7,85
3601,Music & Audio,3.7,1000,51,1179,41338,111287,,6,8,343
3606,Music & Audio,3.9,1000,92,1198,6,208511,,2,9,495
3614,Music & Audio,3.4,10000,50,1895,12,194206,4,1,4,488
3617,Music & Audio,3.7,50000,50,426,3,51840,,3,11,115
3628,Music & Audio,4.5,50000,92,967,6,110180,,1,4,251
3630,Music & Audio,4.2,5000000,50,1159,6,168333,,2,7,488
3636,Music & Audio,4.5,5000,92,1783,15,207497,,4,13,500
3637,Music & Audio,4.1,50000,51,1868,12,197433,,,5,1089
3643,Music & Audio,4,1000,51,738,6,62495,1,1,4,150
3695,Music & Audio,4.2,5000,51,568,9,55153,,2,15,157
3733,Music & Audio,4.6,5000,,25,3,1788,,1,4,10
3782,Music & Audio,3.8,100000,51,765,6,83436,,2,2,223
3792,Music & Audio,4.1,50000,50,2688,9,289570,,3,7,864
3803,Music & Audio,4.3,5000,92,1387,5795,160673,,4,3,357
3805,Music & Audio,4.3,50000,92,2013,9,265476,1,2,4,645
3813,Music & Audio,4.3,100000,92,242,6,43722,,1,2,83
3818,Music & Audio,4.2,100000,51,675,12,64727,,2,3,142
3833,Music & Audio,4.3,10000,92,967,6,110180,,1,3,251
3859,Music & Audio,4.4,100000,50,101,12,11775,3,5,1,47
3872,Music & Audio,4,10000,95,2345,12,279949,11,1,1,437
3892,Music & Audio,4.5,1000,51,99,6,8077,1,1,5,38
3961,Music & Audio,3.9,10000,51,77,3,4451,,1,2,22
3987,Music & Audio,4,500000,92,2363,21,261201,4,5,10,720
3997,Music & Audio,4.1,5000,51,1483,12,128713,1,2,4,386
4000,Music & Audio,5,1000,0,325,6,29724,,2,4,53
4023,Music & Audio,3.9,10000,51,297,9,21490,1,1,4,81
4028,Music & Audio,4.2,1000,51,619,15,54916,1,1,3,127
4031,Music & Audio,4.3,5000,51,383,6,35705,1,3,7,59
4038,Music & Audio,3.6,1000,92,1570,9,193796,,3,4,430
4152,Music & Audio,4.3,5000,92,967,6,110180,,1,8,251
4175,Music & Audio,3.7,10000,50,546,9,55477,,2,8,165
4247,Music & Audio,3.9,100000,100,1167,15,138150,2,2,2,541
4285,Music & Audio,4,5000,50,433,9,43082,1,1,2,90
4287,Music & Audio,4,100000,92,4528,6,513333,3,1,1,962
